Thread:   0 Pushed Item:     990 At Time: Dec 07,2015 21:36:11 
Thread:   1 Dequeued Item:   990 At Time: Dec 07,2015 21:36:11 
Thread:   2 Pushed Item:    1037 At Time: Dec 07,2015 21:36:11 
Thread:   3 Dequeued Item:  1037 At Time: Dec 07,2015 21:36:11 
Thread:   4 Pushed Item:    1004 At Time: Dec 07,2015 21:36:11 
Thread:   5 Dequeued Item:  1004 At Time: Dec 07,2015 21:36:11 
Thread:   6 Enqueued Item:  1188 At Time: Dec 07,2015 21:36:11 
Thread:   7 Dequeued Item:  1188 At Time: Dec 07,2015 21:36:11 
Thread:   8 Pushed Item:    1131 At Time: Dec 07,2015 21:36:12 
Thread:   9 Dequeued Item:  1131 At Time: Dec 07,2015 21:36:12 
Thread:  10 Enqueued Item:   739 At Time: Dec 07,2015 21:36:12 
Thread:  11 Dequeued Item:   739 At Time: Dec 07,2015 21:36:12 
Thread:  12 Enqueued Item:   845 At Time: Dec 07,2015 21:36:12 
Thread:  13 Dequeued Item:   845 At Time: Dec 07,2015 21:36:12 
Thread:  14 Pushed Item:     965 At Time: Dec 07,2015 21:36:12 
Thread:  15 Dequeued Item:   965 At Time: Dec 07,2015 21:36:12 
Thread:  16 Pushed Item:    1098 At Time: Dec 07,2015 21:36:12 
Thread:  17 Dequeued Item:  1098 At Time: Dec 07,2015 21:36:12 
Thread:  18 Pushed Item:    1107 At Time: Dec 07,2015 21:36:12 
Thread:  19 Dequeued Item:  1107 At Time: Dec 07,2015 21:36:12 
Thread:  20 Enqueued Item:   990 At Time: Dec 07,2015 21:36:12 
Thread:  21 Dequeued Item:   990 At Time: Dec 07,2015 21:36:12 
Thread:  22 Pushed Item:    1058 At Time: Dec 07,2015 21:36:12 
Thread:  23 Dequeued Item:  1058 At Time: Dec 07,2015 21:36:12 
Thread:  24 Pushed Item:     858 At Time: Dec 07,2015 21:36:12 
Thread:  25 Dequeued Item:   858 At Time: Dec 07,2015 21:36:12 
Thread:  26 Pushed Item:     696 At Time: Dec 07,2015 21:36:12 
Thread:  27 Dequeued Item:   696 At Time: Dec 07,2015 21:36:12 
Thread:  29 Enqueued Item:   575 At Time: Dec 07,2015 21:36:12 
Thread:  31 Dequeued Item:   575 At Time: Dec 07,2015 21:36:12 
Thread:  32 Pushed Item:    1159 At Time: Dec 07,2015 21:36:12 
